X--Trace 1::[I(Q1:B) | I(Ib)],Y--Trace 1::[I(Q1:B) | I(Ib)],,X--Trace 2::[I(Q1:C) | I(Ic)],Y--Trace 2::[I(Q1:C) | I(Ic)],,X--Trace 3::[V(1) | V(Vb)],Y--Trace 3::[V(1) | V(Vb)]
0,0.002123555,,0,-0.001991421,,0,0.7
0.1,0.000139143,,0.1,0.003218207,,0.1,0.7
0.2,2.61444E-05,,0.2,0.003561137,,0.2,0.7
0.3,2.36374E-05,,0.3,0.003573581,,0.3,0.7
0.4,2.35847E-05,,0.4,0.003578571,,0.4,0.7
0.5,2.35836E-05,,0.5,0.003583428,,0.5,0.7
0.6,2.35836E-05,,0.6,0.003588282,,0.6,0.7
0.7,2.35836E-05,,0.7,0.003593135,,0.7,0.7
0.8,2.35836E-05,,0.8,0.003597989,,0.8,0.7
0.9,2.35836E-05,,0.9,0.003602842,,0.9,0.7
1,2.35836E-05,,1,0.003607696,,1,0.7
1.1,2.35836E-05,,1.1,0.00361255,,1.1,0.7
1.2,2.35836E-05,,1.2,0.003617403,,1.2,0.7
1.3,2.35836E-05,,1.3,0.003622257,,1.3,0.7
1.4,2.35836E-05,,1.4,0.003627111,,1.4,0.7
1.5,2.35836E-05,,1.5,0.003631964,,1.5,0.7
1.6,2.35836E-05,,1.6,0.003636818,,1.6,0.7
1.7,2.35836E-05,,1.7,0.003641671,,1.7,0.7
1.8,2.35836E-05,,1.8,0.003646525,,1.8,0.7
1.9,2.35836E-05,,1.9,0.003651379,,1.9,0.7
2,2.35836E-05,,2,0.003656232,,2,0.7
