X--Trace 1::[I(Q1:D) | I(I_D)],Y--Trace 1::[I(Q1:D) | I(I_D)],,X--Trace 2::[V(2) - V(4) | V(V_DS)],Y--Trace 2::[V(2) - V(4) | V(V_DS)],,X--Trace 3::[V(6) - V(4) | V(V_GS)],Y--Trace 3::[V(6) - V(4) | V(V_GS)]
0.00221834,0.001079198,,0.00221834,16.2383967,,0.00221834,2.146364654
0.00224959,0.00107996,,0.00224959,16.23775932,,0.00224959,2.146416204
0.00228084,0.001077909,,0.00228084,16.23930459,,0.00228084,2.146276981
0.00231209,0.001073133,,0.00231209,16.24296702,,0.00231209,2.145952437
0.00234334,0.001065834,,0.00234334,16.24858911,,0.00234334,2.145455107
0.00237459,0.001056318,,0.00237459,16.25593684,,0.00237459,2.144804159
0.00240584,0.001044978,,0.00240584,16.2647063,,0.00240584,2.144024647
0.00243709,0.001032277,,0.00243709,16.27453974,,0.00243709,2.143146549
0.00246834,0.001018725,,0.00246834,16.28504271,,0.00246834,2.142203613
0.00249959,0.001004854,,0.00249959,16.29580142,,0.00249959,2.14123207
0.00253084,0.000991202,,0.00253084,16.30640039,,0.00253084,2.140269243
0.00256209,0.000978284,,0.00256209,16.3164384,,0.00256209,2.139352123
0.00259334,0.00096658,,0.00259334,16.32554319,,0.00259334,2.138515953
0.00262459,0.000956516,,0.00262459,16.33338345,,0.00262459,2.137792879
0.00265584,0.000948451,,0.00265584,16.33967887,,0.00265584,2.137210715
0.00268709,0.000942669,,0.00268709,16.34420747,,0.00268709,2.136791882
0.00271834,0.000939372,,0.00271834,16.34681126,,0.00271834,2.136552536
0.00274959,0.000938675,,0.00274959,16.3473982,,0.00274959,2.136501947
0.00278084,0.000940603,,0.00278084,16.34595138,,0.00278084,2.136642136
0.00281209,0.00094509,,0.00281209,16.34251539,,0.00281209,2.136967793
0.00284334,0.000951982,,0.00284334,16.33720958,,0.00284334,2.137466466
0.00287459,0.00096104,,0.00287459,16.33021849,,0.00287459,2.138119045
0.00290584,0.000971943,,0.00290584,16.32178916,,0.00290584,2.138900483
0.00293709,0.000984299,,0.00293709,16.31222479,,0.00293709,2.139780767
0.00296834,0.000997655,,0.00296834,16.30187631,,0.00296834,2.140726068
0.002983965,0.001004553,,0.002983965,16.29652786,,0.002983965,2.141211812
0.003,0.001011694,,0.003,16.29098928,,0.003,2.141712865
