time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
3.906249976259879e-011	1.227185e-006	2.698237e-011
7.812499952519758e-011	2.454369e-006	5.481010e-011
1.562499990503952e-010	4.908738e-006	1.113835e-010
3.658482120622825e-007	1.149354e-002	2.658351e-007
7.315401741255147e-007	2.298199e-002	5.403132e-007
1.097232136188747e-006	3.447024e-002	8.235457e-007
1.462924098251979e-006	4.595829e-002	1.115533e-006
1.828616060315211e-006	5.744616e-002	1.416274e-006
2.194308022378443e-006	6.893383e-002	1.725769e-006
2.559999984441674e-006	8.042131e-002	2.044019e-006
4.243386860134490e-006	1.332941e-001	3.738156e-006
5.796596781907724e-006	1.820652e-001	5.866541e-006
7.094605966758168e-006	2.228098e-001	8.598863e-006
8.213529129725791e-006	2.579211e-001	1.247670e-005
9.234107279674349e-006	2.899353e-001	1.847069e-005
1.020137116497228e-005	3.202661e-001	2.820682e-005
1.113678992107714e-005	3.495871e-001	4.472582e-005
1.212811492612441e-005	3.806473e-001	7.531714e-005
1.304262210112559e-005	4.092876e-001	1.250975e-004
1.397826004798201e-005	4.385756e-001	2.140487e-004
1.486834453126234e-005	4.664237e-001	3.612850e-004
1.577396674553499e-005	4.947429e-001	6.197237e-004
1.665742487789669e-005	5.223536e-001	1.053050e-003
1.755636101485734e-005	5.504315e-001	1.805801e-003
1.845068475133397e-005	5.783479e-001	3.077408e-003
1.936826799719394e-005	6.069713e-001	5.271537e-003
2.030621955510912e-005	6.362093e-001	8.996299e-003
2.130048558201597e-005	6.671786e-001	1.542080e-002
2.238452580838752e-005	7.009144e-001	2.649036e-002
2.367546694859134e-005	7.410466e-001	4.652194e-002
2.551350839130788e-005	7.981020e-001	8.597779e-002
2.765977100092376e-005	8.645897e-001	1.427397e-001
3.020328383907992e-005	9.431790e-001	2.175668e-001
3.305573475869174e-005	1.031026e+000	3.045481e-001
4.086823475869175e-005	1.269850e+000	5.437051e-001
4.979680618726319e-005	1.541015e+000	8.156535e-001
5.872537761583463e-005	1.805317e+000	1.080942e+000
6.765394904440606e-005	2.062755e+000	1.339570e+000
7.658252047297751e-005	2.313329e+000	1.591539e+000
8.551109190154895e-005	2.557039e+000	1.836848e+000
9.443966333012039e-005	2.793886e+000	2.075496e+000
1.033682347586918e-004	3.023869e+000	2.307485e+000
1.150869847586918e-004	3.311797e+000	2.598212e+000
1.268057347586918e-004	3.578504e+000	2.868421e+000
1.385244847586919e-004	3.823992e+000	3.118111e+000
1.502432347586919e-004	4.048260e+000	3.347283e+000
1.619619847586919e-004	4.251308e+000	3.555937e+000
1.736807347586919e-004	4.433135e+000	3.744072e+000
1.853994847586919e-004	4.593743e+000	3.911689e+000
1.909798419015490e-004	4.660284e+000	3.982003e+000
1.965601990444062e-004	4.720933e+000	4.046933e+000
2.021405561872633e-004	4.775687e+000	4.106479e+000
2.077209133301205e-004	4.824548e+000	4.160641e+000
2.133012704729776e-004	4.867515e+000	4.209419e+000
2.188816276158348e-004	4.904589e+000	4.252814e+000
2.244619847586919e-004	4.935770e+000	4.290824e+000
2.322744847586919e-004	4.969022e+000	4.335473e+000
2.400869847586919e-004	4.990304e+000	4.370439e+000
2.439932347586919e-004	4.996439e+000	4.384498e+000
2.478994847586919e-004	4.999565e+000	4.396419e+000
2.518057347586919e-004	4.999678e+000	4.406336e+000
2.557119847586919e-004	4.996780e+000	4.414406e+000
2.596182347586919e-004	4.990872e+000	4.420803e+000
2.635244847586919e-004	4.981958e+000	4.425720e+000
2.674307347586919e-004	4.970043e+000	4.429365e+000
2.713369847586919e-004	4.955134e+000	4.431952e+000
2.752432347586919e-004	4.937241e+000	4.433688e+000
2.791494847586919e-004	4.916373e+000	4.434772e+000
2.830557347586919e-004	4.892544e+000	4.435378e+000
2.869619847586919e-004	4.865767e+000	4.435650e+000
2.908682347586919e-004	4.836061e+000	4.435700e+000
2.947744847586919e-004	4.803440e+000	4.435613e+000
2.986807347586919e-004	4.767927e+000	4.435444e+000
3.025869847586919e-004	4.729541e+000	4.435230e+000
3.064932347586920e-004	4.688306e+000	4.434993e+000
3.103994847586920e-004	4.644248e+000	4.434743e+000
3.143057347586920e-004	4.597392e+000	4.434489e+000
3.182119847586920e-004	4.547766e+000	4.434232e+000
3.221182347586920e-004	4.495401e+000	4.433973e+000
3.260244847586920e-004	4.440329e+000	4.433714e+000
3.299307347586920e-004	4.382581e+000	4.433456e+000
3.338369847586920e-004	4.322194e+000	4.433197e+000
3.455557347586920e-004	4.125564e+000	4.432421e+000
3.583905561872634e-004	3.879715e+000	4.431570e+000
